city,year,weekofyear,total_cases
sj,2010,25,15
sj,2010,26,12
sj,2010,27,12
sj,2010,28,13
sj,2010,29,13
sj,2010,30,16
sj,2010,31,15
sj,2010,32,14
sj,2010,33,17
sj,2010,34,16
sj,2010,35,17
sj,2010,36,18
sj,2010,37,16
sj,2010,38,15
sj,2010,39,13
sj,2010,40,19
sj,2010,41,14
sj,2010,42,13
sj,2010,43,12
sj,2010,44,14
sj,2010,45,12
sj,2010,46,15
sj,2010,47,15
sj,2010,48,15
sj,2010,49,13
sj,2010,50,14
sj,2010,51,16
sj,2011,52,16
sj,2011,1,18
sj,2011,2,13
sj,2011,3,17
sj,2011,4,16
sj,2011,5,15
sj,2011,6,11
sj,2011,7,13
sj,2011,8,17
sj,2011,9,16
sj,2011,10,18
sj,2011,11,17
sj,2011,12,15
sj,2011,13,20
sj,2011,14,17
sj,2011,15,19
sj,2011,16,17
sj,2011,17,16
sj,2011,18,16
sj,2011,19,17
sj,2011,20,15
sj,2011,21,15
sj,2011,22,17
sj,2011,23,11
sj,2011,24,12
sj,2011,25,11
sj,2011,26,15
sj,2011,27,11
sj,2011,28,13
sj,2011,29,16
sj,2011,30,16
sj,2011,31,21
sj,2011,32,18
sj,2011,33,17
sj,2011,34,14
sj,2011,35,19
sj,2011,36,13
sj,2011,37,13
sj,2011,38,12
sj,2011,39,17
sj,2011,40,15
sj,2011,41,16
sj,2011,42,22
sj,2011,43,14
sj,2011,44,22
sj,2011,45,26
sj,2011,46,21
sj,2011,47,14
sj,2011,48,17
sj,2011,49,16
sj,2011,50,16
sj,2011,51,12
sj,2012,52,11
sj,2012,1,18
sj,2012,2,13
sj,2012,3,15
sj,2012,4,15
sj,2012,5,12
sj,2012,6,14
sj,2012,7,12
sj,2012,8,12
sj,2012,9,13
sj,2012,10,17
sj,2012,11,19
sj,2012,12,14
sj,2012,13,15
sj,2012,14,16
sj,2012,15,17
sj,2012,16,16
sj,2012,17,16
sj,2012,18,14
sj,2012,19,17
sj,2012,20,17
sj,2012,21,13
sj,2012,22,13
sj,2012,23,18
sj,2012,24,16
sj,2012,25,13
sj,2012,26,18
sj,2012,27,15
sj,2012,28,15
sj,2012,29,16
sj,2012,30,14
sj,2012,31,12
sj,2012,32,16
sj,2012,33,16
sj,2012,34,12
sj,2012,35,15
sj,2012,36,15
sj,2012,37,16
sj,2012,38,16
sj,2012,39,19
sj,2012,40,14
sj,2012,41,13
sj,2012,42,12
sj,2012,43,16
sj,2012,44,12
sj,2012,45,13
sj,2012,46,15
sj,2012,47,14
sj,2012,48,16
sj,2012,49,15
sj,2012,50,12
sj,2012,51,11
sj,2013,1,17
sj,2013,2,14
sj,2013,3,19
sj,2013,4,20
sj,2013,5,12
sj,2013,6,16
sj,2013,7,15
sj,2013,8,12
sj,2013,9,15
sj,2013,10,17
sj,2013,11,15
sj,2013,12,18
sj,2013,13,16
sj,2013,14,17
sj,2013,15,16
sj,2013,16,15
sj,2013,17,16
iq,2010,26,3
iq,2010,27,3
iq,2010,28,3
iq,2010,29,2
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,3
iq,2010,34,3
iq,2010,35,3
iq,2010,36,6
iq,2010,37,4
iq,2010,38,5
iq,2010,39,3
iq,2010,40,3
iq,2010,41,3
iq,2010,42,3
iq,2010,43,2
iq,2010,44,3
iq,2010,45,3
iq,2010,46,2
iq,2010,47,3
iq,2010,48,4
iq,2010,49,3
iq,2010,50,5
iq,2010,51,4
iq,2011,52,6
iq,2011,1,5
iq,2011,2,3
iq,2011,3,4
iq,2011,4,4
iq,2011,5,5
iq,2011,6,3
iq,2011,7,4
iq,2011,8,3
iq,2011,9,3
iq,2011,10,4
iq,2011,11,4
iq,2011,12,4
iq,2011,13,4
iq,2011,14,4
iq,2011,15,4
iq,2011,16,3
iq,2011,17,2
iq,2011,18,4
iq,2011,19,3
iq,2011,20,3
iq,2011,21,4
iq,2011,22,5
iq,2011,23,5
iq,2011,24,3
iq,2011,25,6
iq,2011,26,3
iq,2011,27,5
iq,2011,28,1
iq,2011,29,4
iq,2011,30,3
iq,2011,31,4
iq,2011,32,4
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,4
iq,2011,37,3
iq,2011,38,3
iq,2011,39,2
iq,2011,40,3
iq,2011,41,3
iq,2011,42,3
iq,2011,43,6
iq,2011,44,2
iq,2011,45,2
iq,2011,46,4
iq,2011,47,3
iq,2011,48,3
iq,2011,49,7
iq,2011,50,6
iq,2011,51,4
iq,2012,52,5
iq,2012,1,5
iq,2012,2,4
iq,2012,3,4
iq,2012,4,3
iq,2012,5,6
iq,2012,6,6
iq,2012,7,4
iq,2012,8,4
iq,2012,9,4
iq,2012,10,3
iq,2012,11,4
iq,2012,12,3
iq,2012,13,6
iq,2012,14,4
iq,2012,15,3
iq,2012,16,6
iq,2012,17,4
iq,2012,18,6
iq,2012,19,2
iq,2012,20,4
iq,2012,21,5
iq,2012,22,9
iq,2012,23,10
iq,2012,24,8
iq,2012,25,3
iq,2012,26,4
iq,2012,27,5
iq,2012,28,5
iq,2012,29,2
iq,2012,30,7
iq,2012,31,3
iq,2012,32,4
iq,2012,33,3
iq,2012,34,3
iq,2012,35,3
iq,2012,36,3
iq,2012,37,2
iq,2012,38,2
iq,2012,39,3
iq,2012,40,5
iq,2012,41,4
iq,2012,42,2
iq,2012,43,2
iq,2012,44,4
iq,2012,45,3
iq,2012,46,6
iq,2012,47,4
iq,2012,48,4
iq,2012,49,5
iq,2012,50,2
iq,2012,51,3
iq,2013,1,4
iq,2013,2,5
iq,2013,3,6
iq,2013,4,6
iq,2013,5,3
iq,2013,6,3
iq,2013,7,7
iq,2013,8,8
iq,2013,9,5
iq,2013,10,7
iq,2013,11,7
iq,2013,12,4
iq,2013,13,3
iq,2013,14,5
iq,2013,15,6
iq,2013,16,4
iq,2013,17,7
iq,2013,18,4
iq,2013,19,5
iq,2013,20,5
iq,2013,21,4
iq,2013,22,5
iq,2013,23,3
iq,2013,24,3
iq,2013,25,4
iq,2013,26,5
